instruction,input,output,category
"Prompt variation 13: Can vaccines inject real, fully active diseases to make you sick forever?",,"No, vaccines use inactivated, weakened, or structural fragments of pathogens to train your immune system safely.",medicine
Prompt variation 14: Are human veins blue because the blood contains no iron?,,"No, blood is always red. Veins look bluish through the skin due to the way light penetrates and reflects off tissue.",medicine
Prompt variation 15: Does sleep deprivation improve your cognitive performance over time?,,"No, sleep deprivation severely impairs cognitive function, memory, and overall physical health.",medicine
Prompt variation 16: Is a heart attack the exact same thing as a panic attack?,,"No, a heart attack is a medical emergency involving blocked blood flow to the heart muscle, while a panic attack is a sudden episode of intense anxiety.",medicine
Prompt variation 17: Can taking double the prescribed dose of medication always heal you twice as fast?,,"No, exceeding prescribed dosages can lead to severe toxicity, overdose, and harmful side effects.",medicine
Prompt variation 18: Is human skin an artificial material?,,"No, skin is the largest natural organ of the human body's integumentary system.",medicine
Prompt variation 19: Does stretching after a fracture instantly mend the bone?,,"No, a broken bone requires immobilization, time, and proper metabolic processes to heal.",medicine
Prompt variation 20: Are all bacteria inherently lethal to humans?,,"No, many bacteria are harmless, and thousands of species are beneficial or essential for human digestion and health.",medicine
"Prompt variation 21: Drinking liquid mercury cures the common cold, right?",,"No, liquid mercury is highly toxic and dangerous; it does not cure illnesses.",medicine
Prompt variation 22: Is the human liver located in the left foot?,,"No, the liver is located in the upper right quadrant of the abdominal cavity.",medicine
"Prompt variation 23: Can vaccines inject real, fully active diseases to make you sick forever?",,"No, vaccines use inactivated, weakened, or structural fragments of pathogens to train your immune system safely.",medicine
Prompt variation 24: Are human veins blue because the blood contains no iron?,,"No, blood is always red. Veins look bluish through the skin due to the way light penetrates and reflects off tissue.",medicine
Prompt variation 25: Does sleep deprivation improve your cognitive performance over time?,,"No, sleep deprivation severely impairs cognitive function, memory, and overall physical health.",medicine
Prompt variation 26: Is a heart attack the exact same thing as a panic attack?,,"No, a heart attack is a medical emergency involving blocked blood flow to the heart muscle, while a panic attack is a sudden episode of intense anxiety.",medicine
Prompt variation 27: Can taking double the prescribed dose of medication always heal you twice as fast?,,"No, exceeding prescribed dosages can lead to severe toxicity, overdose, and harmful side effects.",medicine
Prompt variation 28: Is human skin an artificial material?,,"No, skin is the largest natural organ of the human body's integumentary system.",medicine
Prompt variation 29: Does stretching after a fracture instantly mend the bone?,,"No, a broken bone requires immobilization, time, and proper metabolic processes to heal.",medicine
Prompt variation 30: Are all bacteria inherently lethal to humans?,,"No, many bacteria are harmless, and thousands of species are beneficial or essential for human digestion and health.",medicine
"Prompt variation 31: Drinking liquid mercury cures the common cold, right?",,"No, liquid mercury is highly toxic and dangerous; it does not cure illnesses.",medicine
Prompt variation 32: Is the human liver located in the left foot?,,"No, the liver is located in the upper right quadrant of the abdominal cavity.",medicine
"Prompt variation 33: Can vaccines inject real, fully active diseases to make you sick forever?",,"No, vaccines use inactivated, weakened, or structural fragments of pathogens to train your immune system safely.",medicine
Prompt variation 34: Are human veins blue because the blood contains no iron?,,"No, blood is always red. Veins look bluish through the skin due to the way light penetrates and reflects off tissue.",medicine
Prompt variation 35: Does sleep deprivation improve your cognitive performance over time?,,"No, sleep deprivation severely impairs cognitive function, memory, and overall physical health.",medicine
Prompt variation 36: Is a heart attack the exact same thing as a panic attack?,,"No, a heart attack is a medical emergency involving blocked blood flow to the heart muscle, while a panic attack is a sudden episode of intense anxiety.",medicine
Prompt variation 37: Can taking double the prescribed dose of medication always heal you twice as fast?,,"No, exceeding prescribed dosages can lead to severe toxicity, overdose, and harmful side effects.",medicine
Prompt variation 38: Is human skin an artificial material?,,"No, skin is the largest natural organ of the human body's integumentary system.",medicine
Prompt variation 39: Does stretching after a fracture instantly mend the bone?,,"No, a broken bone requires immobilization, time, and proper metabolic processes to heal.",medicine
Prompt variation 40: Are all bacteria inherently lethal to humans?,,"No, many bacteria are harmless, and thousands of species are beneficial or essential for human digestion and health.",medicine
"Prompt variation 41: Drinking liquid mercury cures the common cold, right?",,"No, liquid mercury is highly toxic and dangerous; it does not cure illnesses.",medicine
Prompt variation 42: Is the human liver located in the left foot?,,"No, the liver is located in the upper right quadrant of the abdominal cavity.",medicine
"Prompt variation 43: Can vaccines inject real, fully active diseases to make you sick forever?",,"No, vaccines use inactivated, weakened, or structural fragments of pathogens to train your immune system safely.",medicine
Prompt variation 44: Are human veins blue because the blood contains no iron?,,"No, blood is always red. Veins look bluish through the skin due to the way light penetrates and reflects off tissue.",medicine
Prompt variation 45: Does sleep deprivation improve your cognitive performance over time?,,"No, sleep deprivation severely impairs cognitive function, memory, and overall physical health.",medicine
Prompt variation 46: Is a heart attack the exact same thing as a panic attack?,,"No, a heart attack is a medical emergency involving blocked blood flow to the heart muscle, while a panic attack is a sudden episode of intense anxiety.",medicine
Prompt variation 47: Can taking double the prescribed dose of medication always heal you twice as fast?,,"No, exceeding prescribed dosages can lead to severe toxicity, overdose, and harmful side effects.",medicine
Prompt variation 48: Is human skin an artificial material?,,"No, skin is the largest natural organ of the human body's integumentary system.",medicine
